94872,-0.006,-0.059,1.002,-0.183,-0.488,-0.061
94896,-0.003,-0.059,1.001,0.000,-0.488,-0.183
94920,-0.005,-0.059,1.000,-0.122,-0.549,-0.122
94944,-0.006,-0.061,1.003,-0.122,-0.610,0.000
94968,-0.005,-0.061,1.001,-0.122,-0.610,0.000
94992,-0.004,-0.060,1.000,0.000,-0.549,-0.122
95016,-0.006,-0.059,1.002,-0.061,-0.549,-0.061
95040,-0.006,-0.060,1.001,-0.061,-0.610,-0.061
95064,-0.006,-0.059,1.002,-0.061,-0.671,-0.183
95088,-0.005,-0.061,1.000,-0.122,-0.488,-0.183
95112,-0.005,-0.061,1.001,0.183,-0.610,-0.183
95136,-0.004,-0.060,1.000,-0.183,-0.671,-0.122
95160,-0.006,-0.058,1.001,0.122,-0.488,-0.122
95184,-0.004,-0.060,1.004,-0.061,-0.549,-0.061
95208,-0.005,-0.060,1.002,-0.061,-0.549,-0.183
95232,-0.006,-0.060,1.001,0.000,-0.549,-0.061
95256,-0.004,-0.059,1.000,-0.183,-0.549,-0.183
95280,-0.004,-0.057,1.000,-0.183,-0.610,-0.122
95304,-0.004,-0.061,1.000,-0.183,-0.427,-0.061
95328,-0.007,-0.062,1.002,-0.122,-0.610,-0.122
95352,-0.004,-0.059,1.002,0.061,-0.610,0.000
95376,-0.007,-0.059,1.002,-0.183,-0.549,-0.122
95400,-0.005,-0.061,1.000,-0.122,-0.549,-0.183
95424,-0.003,-0.059,1.001,-0.244,-0.610,-0.183
95448,-0.005,-0.060,0.999,0.122,-0.610,-0.122
95472,-0.006,-0.059,1.002,-0.183,-0.427,-0.122
95496,-0.004,-0.059,1.002,-0.122,-0.366,-0.183
95520,-0.006,-0.061,1.000,-0.183,-0.671,-0.061
95544,-0.006,-0.062,1.001,-0.122,-0.549,-0.061
95568,-0.006,-0.061,1.000,-0.061,-0.488,-0.122
95592,-0.007,-0.061,1.000,0.000,-0.549,-0.122
95616,-0.005,-0.060,1.002,-0.244,-0.488,-0.122
95640,-0.004,-0.062,1.000,-0.061,-0.427,-0.122
95664,-0.006,-0.061,1.000,-0.244,-0.549,-0.244
95688,-0.005,-0.060,1.001,-0.122,-0.488,0.000
95712,-0.005,-0.060,1.003,0.000,-0.549,0.000
95736,-0.006,-0.060,1.001,-0.122,-0.549,-0.183
95760,-0.007,-0.059,1.002,0.000,-0.610,-0.061
95784,-0.005,-0.059,1.001,-0.122,-0.488,-0.122
95808,-0.005,-0.060,1.001,0.000,-0.488,-0.061
95832,-0.006,-0.060,1.002,-0.244,-0.427,-0.122
95856,-0.006,-0.061,1.000,-0.183,-0.427,-0.183
95880,-0.005,-0.059,1.002,-0.061,-0.671,-0.244
95904,-0.005,-0.059,1.002,-0.183,-0.549,-0.122
95928,-0.004,-0.058,1.000,-0.061,-0.610,0.061
95952,-0.004,-0.059,1.001,-0.183,-0.488,-0.122
95976,-0.004,-0.062,1.002,-0.183,-0.549,-0.061
96000,-0.006,-0.062,1.000,-0.183,-0.610,-0.122
96024,-0.006,-0.061,1.003,0.061,-0.549,-0.061
96048,-0.007,-0.060,0.999,-0.305,-0.488,-0.244
96072,-0.004,-0.059,1.000,-0.244,-0.549,0.000
96096,-0.002,-0.060,1.001,-0.183,-0.488,-0.122
96120,-0.005,-0.062,1.000,-0.122,-0.549,-0.183
96144,-0.005,-0.058,1.004,0.305,-0.366,-0.183
96168,-0.006,-0.060,1.003,-0.183,-0.671,-0.183
96192,-0.003,-0.061,1.002,-0.122,-0.610,-0.061
96216,-0.003,-0.060,1.001,-0.061,-0.549,-0.122
96240,-0.006,-0.057,1.000,-0.183,-0.488,-0.183
96264,-0.004,-0.060,1.001,-0.122,-0.549,-0.061
96288,-0.006,-0.061,1.003,0.000,-0.610,-0.061
96312,-0.005,-0.062,1.002,0.000,-0.732,-0.122
96336,-0.007,-0.061,1.000,-0.061,-0.488,-0.061
96360,-0.004,-0.059,1.003,0.000,-0.671,-0.122
96384,-0.005,-0.058,0.999,-0.122,-0.610,-0.183
96408,-0.005,-0.058,1.001,-0.183,-0.549,-0.183
96432,-0.004,-0.062,1.000,-0.244,-0.549,-0.122
96456,-0.006,-0.061,1.003,0.061,-0.427,-0.122
96480,-0.006,-0.060,1.003,0.000,-0.610,-0.061
96504,-0.005,-0.059,1.002,0.000,-0.671,-0.122
96528,-0.005,-0.060,1.001,-0.122,-0.671,-0.122
96552,-0.003,-0.061,1.000,-0.122,-0.671,-0.061
96576,-0.004,-0.060,1.000,0.000,-0.549,-0.061
96600,-0.007,-0.058,1.003,0.000,-0.488,-0.183
