theta_b,theta_b_dot,theta_w_dot,torque,torque_raw,delta_t
-0.005721,-0.001065,66.300514,0.314215,0.314215,0.003900
-0.005474,0.000000,68.939011,0.287273,0.287273,0.003901
-0.005241,-0.001065,70.679726,0.285020,0.285020,0.003896
-0.005109,-0.005326,70.279686,0.325511,0.325511,0.003898
-0.004983,-0.005326,68.715691,0.318400,0.318400,0.003899
-0.004861,-0.005326,68.176506,0.312059,0.312059,0.003902
-0.004645,-0.009587,69.701996,0.348625,0.348625,0.003896
-0.004441,-0.010653,71.974403,0.348485,0.348485,0.003897
-0.004245,-0.010653,72.809868,0.336313,0.336313,0.003899
-0.004158,-0.013848,71.496834,0.367568,0.367568,0.003899
-0.004083,-0.015979,70.104744,0.388166,0.388166,0.003899
-0.004011,-0.018109,71.113373,0.409017,0.409017,0.003898
-0.003953,-0.019175,74.252220,0.417435,0.417435,0.004231
-0.003891,-0.019175,76.794762,0.412571,0.412571,0.003902
-0.003977,-0.020240,76.600090,0.428697,0.428697,0.003897
-0.004060,-0.020240,74.546707,0.433554,0.433554,0.003900
-0.004248,-0.020240,73.622902,0.445170,0.445170,0.003897
-0.004428,-0.020240,75.497040,0.455896,0.455896,0.003901
-0.004609,-0.022371,77.990768,0.489911,0.489911,0.003901
-0.004876,-0.022371,78.367920,0.504212,0.504212,0.003895
-0.005120,-0.019175,76.557518,0.481504,0.481504,0.003903
-0.005354,-0.019175,75.217438,0.495712,0.495712,0.003896
-0.005390,-0.020240,76.765213,0.510506,0.510506,0.003900
-0.005424,-0.020240,79.859222,0.511837,0.511837,0.003899
-0.005391,-0.022371,81.280785,0.533030,0.533030,0.003897
-0.005363,-0.023436,79.849411,0.543025,0.543025,0.003903
-0.005335,-0.023436,78.309555,0.542052,0.542052,0.003897
-0.005239,-0.026632,79.331459,0.573758,0.573758,0.003900
-0.005167,-0.031958,81.916351,0.630167,0.630167,0.003898
-0.005065,-0.036219,82.797569,0.672027,0.672027,0.003899
-0.004967,-0.036219,80.985565,0.666035,0.666035,0.003898
-0.004865,-0.034088,79.776543,0.636523,0.636523,0.003898
-0.005048,-0.034088,81.933342,0.647502,0.647502,0.003901
-0.005223,-0.034088,85.774551,0.656678,0.656678,0.003898
-0.005391,-0.034088,86.834229,0.664764,0.664764,0.003899
-0.005760,-0.034088,84.508804,0.685527,0.685527,0.004172
-0.006085,-0.028762,83.233528,0.644189,0.644189,0.003895
-0.006514,-0.024501,85.337273,0.620580,0.620580,0.003897
-0.006914,-0.021305,87.933929,0.606109,0.606109,0.003897
-0.007298,-0.021305,87.319656,0.627112,0.627112,0.003905
-0.007706,-0.017044,84.889809,0.602016,0.602016,0.003898
-0.008094,-0.015979,85.026527,0.613087,0.613087,0.003899
-0.008222,-0.014914,88.333199,0.608174,0.608174,0.003895
-0.008345,-0.014914,90.535484,0.613870,0.613870,0.003904
-0.008466,-0.015979,89.060501,0.632153,0.632153,0.003894
-0.008365,-0.014914,87.270836,0.614714,0.614714,0.003898
-0.008275,-0.017044,88.766846,0.634682,0.634682,0.003897
-0.008220,-0.020240,91.506241,0.667529,0.667529,0.003902
-0.008168,-0.020240,91.163826,0.663400,0.663400,0.003897
-0.008130,-0.023436,88.784126,0.697927,0.697927,0.003898
-0.008381,-0.021305,89.476486,0.688954,0.688954,0.003899
-0.008615,-0.019175,93.713211,0.677685,0.677685,0.003898
